expression,gene,strain,time,Bio
0.03619488,idr2,ura3,0,A
0.01088747,idr2,ura3,5,A
0.00598261,idr2,ura3,20,A
0.00374999,idr2,ura3,60,A
0.04260588,idr2,ura3,0,B
0.01583714,idr2,ura3,5,B
0.00954272,idr2,ura3,20,B
0.00763141,idr2,ura3,60,B
0.02598336,idr2,ura3,0,C
0.02465914,idr2,ura3,5,C
0.01823206,idr2,ura3,20,C
0.00472794,idr2,ura3,60,C
0.017865664,idr2,idr1,0,A
0.021995212,idr2,idr1,5,A
0.008200912,idr2,idr1,20,A
0.004876291,idr2,idr1,60,A
0.030465777,idr2,idr1,0,B
0.021050525,idr2,idr1,5,B
0.008789519,idr2,idr1,20,B
0.010096507,idr2,idr1,60,B
0.049377582,idr2,idr1,0,C
0.003114753,idr2,idr1,5,C
0.003100393,idr2,idr1,20,C
0.006554342,idr2,idr1,60,C
0.060931554,idr2,sirr,0,A
0.040855289,idr2,sirr,5,A
0.009640565,idr2,sirr,20,A
0.008069342,idr2,sirr,60,A
0.057246581,idr2,sirr,0,B
0.045331781,idr2,sirr,5,B
0.014179987,idr2,sirr,20,B
0.011074101,idr2,sirr,60,B
0.051237125,idr2,sirr,0,C
0.034275781,idr2,sirr,5,C
0.0119239,idr2,sirr,20,C
0.017619702,idr2,sirr,60,C
0.011705524,idr2,tror,0,A
0.010821168,idr2,tror,5,A
0.012118319,idr2,tror,20,A
0.007776482,idr2,tror,60,A
0.011544371,idr2,tror,0,B
0.011786942,idr2,tror,5,B
0.016630784,idr2,tror,20,B
0.009355302,idr2,tror,60,B
0.010972226,idr2,tror,0,C
0.006059159,idr2,tror,5,C
0.008238896,idr2,tror,20,C
0.004215735,idr2,tror,60,C
0.0002118,idr1,ura3,0,A
0.000425823,idr1,ura3,5,A
0.000300464,idr1,ura3,20,A
0.000358264,idr1,ura3,60,A
0.000370184,idr1,ura3,0,B
0.000261097,idr1,ura3,5,B
0.000503608,idr1,ura3,20,B
0.000144639,idr1,ura3,60,B
0.000399946,idr1,ura3,0,C
0.000615553,idr1,ura3,5,C
0.000788811,idr1,ura3,20,C
0.001081752,idr1,ura3,60,C
0.000713236,idr1,idr2,0,A
0.000354974,idr1,idr2,5,A
0.00026778,idr1,idr2,20,A
0.000198763,idr1,idr2,60,A
0.000791385,idr1,idr2,0,B
0.000821188,idr1,idr2,5,B
0.000685764,idr1,idr2,20,B
0.00022362,idr1,idr2,60,B
0.001788956,idr1,idr2,0,C
0.000791385,idr1,idr2,5,C
0.000821188,idr1,idr2,20,C
0.000544291,idr1,idr2,60,C
0.000154869,idr1,sirr,0,A
0.000301268,idr1,sirr,5,A
9.56E-05,idr1,sirr,20,A
0.000122636,idr1,sirr,60,A
0.000226218,idr1,sirr,0,B
0.000427042,idr1,sirr,5,B
0.000258658,idr1,sirr,20,B
0.000138611,idr1,sirr,60,B
0.000349279,idr1,sirr,0,C
0.000289664,idr1,sirr,5,C
0.000152032,idr1,sirr,20,C
0.00011602,idr1,sirr,60,C
0.003150944,idr1,tror,0,A
0.000338944,idr1,tror,5,A
0.000357443,idr1,tror,20,A
0.000190226,idr1,tror,60,A
0.00134641,idr1,tror,0,B
0.000404941,idr1,tror,5,B
0.000524537,idr1,tror,20,B
0.000207203,idr1,tror,60,B
0.0036785,idr1,tror,0,C
0.00041345,idr1,tror,5,C
0.001108891,idr1,tror,20,C
0.001096154,idr1,tror,60,C
0.019003932,sirr,ura3,0,A
0.005339291,sirr,ura3,5,A
0.045503236,sirr,ura3,20,A
0.163519252,sirr,ura3,60,A
0.013482523,sirr,ura3,0,B
0.012338207,sirr,ura3,5,B
0.050407642,sirr,ura3,20,B
0.108464366,sirr,ura3,60,B
0.057918216,sirr,ura3,0,C
0.105039904,sirr,ura3,5,C
0.217803342,sirr,ura3,20,C
0.267778496,sirr,ura3,60,C
0.034355066,sirr,idr1,0,A
0.010096507,sirr,idr1,5,A
0.02683017,sirr,idr1,20,A
0.073302184,sirr,idr1,60,A
0.284532759,sirr,idr1,0,B
0.233797812,sirr,idr1,5,B
0.476318999,sirr,idr1,20,B
0.040949794,sirr,idr1,60,B
0.062211855,sirr,idr1,0,C
0.05568117,sirr,idr1,5,C
0.024124898,sirr,idr1,20,C
0.088797734,sirr,idr1,60,C
0.771996743,sirr,idr2,0,A
0.582366793,sirr,idr2,5,A
0.283876107,sirr,idr2,20,A
0.435275282,sirr,idr2,60,A
0.381564802,sirr,idr2,0,B
0.242042674,sirr,idr2,5,B
0.766664172,sirr,idr2,20,B
0.284532759,sirr,idr2,60,B
0.235424004,sirr,idr2,0,C
0.178830742,sirr,idr2,5,C
0.242042674,sirr,idr2,20,C
0.482968165,sirr,idr2,60,C
0.121301279,sirr,tror,0,A
0.082469244,sirr,tror,5,A
0.080772052,sirr,tror,20,A
0.247700153,sirr,tror,60,A
0.063372468,sirr,tror,0,B
0.069508505,sirr,tror,5,B
0.103425703,sirr,tror,20,B
0.240370763,sirr,tror,60,B
0.072126172,sirr,tror,0,C
0.080214119,sirr,tror,5,C
0.177185608,sirr,tror,20,C
0.257028457,sirr,tror,60,C
0.010580526,torr,ura3,0,A
0.005681079,torr,ura3,5,A
0.004374988,torr,ura3,20,A
0.003243305,torr,ura3,60,A
0.015710699,torr,ura3,0,B
0.007880205,torr,ura3,5,B
0.004390514,torr,ura3,20,B
0.004007175,torr,ura3,60,B
0.041535542,torr,ura3,0,C
0.012196066,torr,ura3,5,C
0.014847104,torr,ura3,20,C
0.009696208,torr,ura3,60,C
0.106825897,tror,idr1,0,A
0.008789519,tror,idr1,5,A
0.007222263,tror,idr1,20,A
0.007425308,tror,idr1,60,A
0.046391362,tror,idr1,0,B
0.003107564,tror,idr1,5,B
0.00329235,tror,idr1,20,B
0.002559362,tror,idr1,60,B
0.094732285,tror,idr1,0,C
0.031980434,tror,idr1,5,C
0.030677683,tror,idr1,20,C
0.026583349,tror,idr1,60,C
0.014714,tror,idr2,0,A
0.008932832,tror,idr2,5,A
0.01516266,tror,idr2,20,A
0.007958249,tror,idr2,60,A
0.016101438,tror,idr2,0,B
0.022097087,tror,idr2,5,B
0.016824025,tror,idr2,20,B
0.012988092,tror,idr2,60,B
0.012988092,tror,idr2,0,C
0.016101438,tror,idr2,5,C
0.022097087,tror,idr2,20,C
0.016824025,tror,idr2,60,C
0.058179982,tror,sirr,0,A
0.073812041,tror,sirr,5,A
0.045227164,tror,sirr,20,A
0.049377582,tror,sirr,60,A
0.04725683,tror,sirr,0,B
0.048697786,tror,sirr,5,B
0.03883048,tror,sirr,20,B
0.013018136,tror,sirr,60,B
0.06065064,tror,sirr,0,C
0.054914591,tror,sirr,5,C
0.038651459,tror,sirr,20,C
0.030255334,tror,sirr,60,C
